tweet_id,favorite_count,retweet_count
867051520902168576,30290,7244
866720684873056260,18822,4403
866686824827068416,18105,3195
866450705531457537,115009,32395
866334964761202691,49224,13094
866094527597207552,0,7704
865718153858494464,24185,5180
865359393868664832,24925,4608
865006731092295680,26421,7103
864873206498414592,30417,8007
864279568663928832,13758,2779
864197398364647424,28254,8162
863907417377173506,19442,3823
863553081350529029,14411,3872
863471782782697472,0,2245
863432100342583297,22455,4847
863427515083354112,2081,89
863079547188785154,8298,1027
863062471531167744,7979,2245
862831371563274240,18143,4772
862722525377298433,16192,3283
862457590147678208,19302,4563
862096992088072192,70184,21460
861383897657036800,34152,9932
861288531465048066,16250,3835
861005113778896900,15807,3544
860981674716409858,0,1993
860924035999428608,0,741
860563773140209665,7109,1993
860524505164394496,22440,4938
860276583193509888,17451,3271
860184849394610176,15817,5446
860177593139703809,0,28813
859924526012018688,18623,3836
859851578198683649,14685,3281
859607811541651456,17728,1455
859196978902773760,85398,28158
859074603037188101,32149,12743
858860390427611136,0,7592
858843525470990336,14865,3249
858471635011153920,20520,4551
858107933456039936,15029,2714
857989990357356544,15339,2433
857746408056729600,32686,9985
857393404942143489,5620,1546
857263160327368704,19169,4256
857214891891077121,214,17
857062103051644929,0,157
857029823797047296,18024,3743
856543823941562368,15647,2718
856526610513747968,11366,1774
856330835276025856,0,632
856288084350160898,492,15
856282028240666624,26582,5940
855862651834028034,323,24
855860136149123072,4697,925
855857698524602368,11381,1991
855851453814013952,43968,17115
855818117272018944,25597,5139
855459453768019968,28609,7794
855245323840757760,0,5641
855138241867124737,0,43
854732716440526848,21870,5757
854482394044301312,28131,6499
854365224396361728,18192,4460
854120357044912130,30824,7099
854010172552949760,15668,3002
853760880890318849,27572,5475
853639147608842240,33447,9544
853299958564483072,14958,3397
852936405516943360,0,1895
852912242202992640,8717,1729
852672615818899456,14428,2065
852553447878664193,15776,3321
852311364735569921,32081,9518
852226086759018497,19378,6563
852189679701164033,11116,1527
851861385021730816,0,19
851591660324737024,15785,3327
851464819735769094,23555,6784
851224888060895234,20105,5522
850753642995093505,29900,8752
850380195714523136,12747,2505
850333567704068097,3361,315
850145622816686080,15907,3659
850019790995546112,19861,4691
849776966551130114,29581,7304
849668094696017920,0,4770
849412302885593088,15469,3039
849336543269576704,11136,1829
849051919805034497,41271,8178
848690551926992896,24570,4176
848324959059550208,24106,4469
848213670039564288,7971,699
848212111729840128,15936,2923
847978865427394560,0,3154
847971574464610304,0,420
847962785489326080,22984,4901
847842811428974592,5314,1283
847617282490613760,6829,401
847606175596138505,18363,3326
847251039262605312,20048,4192
847157206088847362,19461,5683
847116187444137987,21012,3087
846874817362120707,19663,3802
846514051647705089,43622,11170
846505985330044928,13803,2973
846153765933735936,30911,8760
846139713627017216,30421,9745
846042936437604353,15649,2778
845812042753855489,28624,8420
845677943972139009,24704,4670
845397057150107648,7481,1743
845306882940190720,22876,5236
845098359547420673,0,7445
844979544864018432,13387,2473
844973813909606400,14795,3092
844580511645339650,16167,3035
844223788422217728,13425,2133
843981021012017153,14910,2875
843856843873095681,21077,4504
